Temperatura (°C),Hidrogeno,pH,ORP,Conductividad,Metano 
19.45960938,3.5644531,2.536621,1.0644531,1.4233398,3.503418
19.36195313,3.5595703,2.5341797,1.0668945,1.4233398,3.5083008
19.36195313,3.5546875,2.5390625,1.0864258,1.4282227,3.4960938
19.55726563,3.6083984,2.5439453,1.0668945,1.4233398,3.552246
19.36195313,3.6376953,2.5390625,1.0668945,1.4208984,3.5791016
19.5084375,3.605957,2.5439453,1.0668945,1.4233398,3.5546875
19.65492188,3.6425781,2.541504,1.0693359,1.4208984,3.5888672
19.60609375,3.6230469,2.536621,1.0668945,1.4208984,3.5791016
19.65492188,3.59375,2.541504,1.0668945,1.4208984,3.5498047
19.60609375,3.6108398,2.5390625,1.0644531,1.4208984,3.5620117
19.60609375,3.6425781,2.541504,1.0717773,1.4233398,3.5644531
19.55726563,3.6083984,2.541504,1.0717773,1.4208984,3.5620117
19.55726563,3.6108398,2.541504,1.0717773,1.4233398,3.5620117
19.55726563,3.6157227,2.5390625,1.0717773,1.4233398,3.5668945
19.36195313,3.6206055,2.5390625,1.0717773,1.4208984,3.5742188
19.60609375,3.6401367,2.536621,1.0717773,1.4233398,3.581543
19.41078125,3.6206055,2.536621,1.0717773,1.4233398,3.569336
19.313125,3.6157227,2.5341797,1.0717773,1.4208984,3.5620117
19.45960938,3.5961914,2.536621,1.0766602,1.4208984,3.5449219
19.41078125,3.5717773,2.5390625,1.0742188,1.4208984,3.5253906
19.313125,3.5546875,2.5390625,1.0742188,1.4208984,3.5058594
19.313125,3.5668945,2.536621,1.0766602,1.4208984,3.5205078
19.41078125,3.5351562,2.5341797,1.0742188,1.4233398,3.4814453
19.313125,3.5327148,2.5390625,1.0766602,1.4208984,3.4887695
19.26429688,3.515625,2.5390625,1.0766602,1.4233398,3.4716797
19.16664063,3.4887695,2.536621,1.0766602,1.4208984,3.4179688
19.16664063,3.4692383,2.536621,1.0766602,1.4208984,3.4179688
19.21546875,3.479004,2.536621,1.0791016,1.4233398,3.4301758
19.1178125,3.4033203,2.5341797,1.0791016,1.4208984,3.3422852
19.1178125,3.5180664,2.536621,1.0766602,1.4208984,3.4326172
19.06898438,3.4765625,2.5390625,1.0766602,1.4208984,3.4179688
19.1178125,3.0249023,2.5292969,1.0766602,1.4208984,2.7270508
19.16664063,1.9506836,2.536621,1.0742188,1.4208984,1.6479492
19.26429688,1.8139648,2.5341797,1.0742188,1.4208984,1.6162109
19.313125,1.9897461,2.5341797,1.0717773,1.4233398,1.7358398
19.41078125,2.5512695,2.5292969,1.0717773,1.4208984,2.2705078
19.65492188,3.4057617,2.5341797,1.0717773,1.4208984,3.2470703
19.75257813,3.696289,2.5317383,1.0717773,1.4233398,3.5644531
